"id","passengerClass","passengerAge","passengerSex","passengerSurvival"
1,"1st",30,"female","survived"
2,"1st",0,"male","survived"
3,"1st",0,"female","died"
4,"1st",30,"male","died"
5,"1st",20,"female","died"
6,"1st",50,"male","survived"
7,"1st",60,"female","survived"
8,"1st",40,"male","died"
9,"1st",50,"female","survived"
10,"1st",70,"male","died"
11,"1st",50,"male","died"
12,"1st",20,"female","survived"
13,"1st",20,"female","survived"
14,"1st",30,"female","survived"
15,"1st",80,"male","survived"
16,"1st",-1,"male","died"
17,"1st",20,"male","died"
18,"1st",50,"female","survived"
19,"1st",30,"female","survived"
20,"1st",40,"male","died"
21,"1st",40,"male","survived"
22,"1st",50,"female","survived"
23,"1st",30,"male","survived"
24,"1st",40,"female","survived"
25,"1st",30,"female","survived"
26,"1st",20,"male","died"
27,"1st",20,"male","survived"
28,"1st",20,"female","survived"
29,"1st",40,"female","survived"
30,"1st",30,"male","survived"
31,"1st",40,"male","died"
32,"1st",40,"male","survived"
33,"1st",30,"female","survived"
34,"1st",60,"female","survived"
35,"1st",40,"male","died"
36,"1st",40,"female","survived"
37,"1st",20,"female","survived"
38,"1st",-1,"male","survived"
39,"1st",40,"male","died"
40,"1st",50,"male","died"
41,"1st",-1,"male","died"
42,"1st",40,"female","survived"
43,"1st",60,"female","survived"
44,"1st",60,"female","survived"
45,"1st",40,"female","survived"
46,"1st",40,"male","died"
47,"1st",-1,"male","died"
48,"1st",40,"male","survived"
49,"1st",50,"female","survived"
50,"1st",40,"male","survived"
51,"1st",60,"female","survived"
52,"1st",30,"male","died"
53,"1st",30,"male","died"
54,"1st",20,"male","died"
55,"1st",10,"male","survived"
56,"1st",10,"female","survived"
57,"1st",40,"male","survived"
58,"1st",40,"female","survived"
59,"1st",50,"male","died"
60,"1st",-1,"female","survived"
61,"1st",40,"male","died"
62,"1st",80,"female","survived"
63,"1st",50,"male","died"
64,"1st",50,"female","survived"
65,"1st",30,"male","survived"
66,"1st",30,"female","survived"
67,"1st",40,"female","survived"
68,"1st",30,"female","survived"
69,"1st",40,"male","survived"
70,"1st",-1,"female","survived"
71,"1st",-1,"male","died"
72,"1st",30,"male","died"
73,"1st",30,"female","survived"
74,"1st",20,"female","survived"
75,"1st",-1,"male","died"
76,"1st",50,"male","died"
77,"1st",40,"female","survived"
78,"1st",40,"male","died"
79,"1st",60,"female","survived"
80,"1st",60,"female","survived"
81,"1st",-1,"male","died"
82,"1st",70,"male","died"
83,"1st",40,"female","survived"
84,"1st",60,"female","survived"
85,"1st",40,"male","died"
86,"1st",40,"female","survived"
87,"1st",50,"male","survived"
88,"1st",30,"male","survived"
89,"1st",30,"female","survived"
90,"1st",30,"male","died"
91,"1st",30,"female","survived"
92,"1st",30,"male","survived"
93,"1st",20,"female","survived"
94,"1st",50,"male","survived"
95,"1st",0,"male","survived"
96,"1st",50,"female","survived"
97,"1st",50,"male","died"
98,"1st",30,"female","survived"
99,"1st",50,"female","survived"
100,"1st",50,"female","survived"
101,"1st",50,"male","survived"
102,"1st",40,"male","died"
103,"1st",20,"female","survived"
104,"1st",40,"female","survived"
105,"1st",50,"female","survived"
106,"1st",40,"female","died"
107,"1st",-1,"male","died"
108,"1st",-1,"female","survived"
109,"1st",-1,"female","survived"
110,"1st",40,"male","survived"
111,"1st",30,"male","died"
112,"1st",20,"female","survived"
113,"1st",30,"female","survived"
114,"1st",20,"female","survived"
115,"1st",20,"male","died"
116,"1st",60,"male","died"
117,"1st",60,"female","survived"
118,"1st",30,"female","survived"
119,"1st",-1,"male","died"
120,"1st",50,"male","survived"
121,"1st",40,"male","survived"
122,"1st",-1,"female","survived"
123,"1st",20,"female","survived"
124,"1st",60,"male","survived"
125,"1st",50,"female","survived"
126,"1st",-1,"male","died"
127,"1st",40,"male","died"
128,"1st",40,"female","survived"
129,"1st",50,"male","died"
130,"1st",40,"female","survived"
131,"1st",20,"female","survived"
132,"1st",40,"female","survived"
133,"1st",20,"male","died"
134,"1st",50,"male","survived"
135,"1st",-1,"female","survived"
136,"1st",70,"male","died"
137,"1st",50,"male","survived"
138,"1st",20,"female","survived"
139,"1st",40,"male","died"
140,"1st",60,"female","survived"
141,"1st",20,"male","survived"
142,"1st",40,"female","survived"
143,"1st",50,"male","died"
144,"1st",20,"male","survived"
145,"1st",20,"female","survived"
146,"1st",50,"male","survived"
147,"1st",50,"female","survived"
148,"1st",-1,"male","died"
149,"1st",40,"male","died"
150,"1st",40,"female","survived"
151,"1st",40,"male","died"
152,"1st",30,"male","survived"
153,"1st",-1,"male","survived"
154,"1st",20,"female","survived"
155,"1st",60,"male","died"
156,"1st",50,"female","survived"
157,"1st",40,"male","died"
158,"1st",-1,"male","died"
159,"1st",60,"male","died"
160,"1st",20,"female","survived"
161,"1st",40,"female","survived"
162,"1st",50,"female","survived"
163,"1st",40,"male","died"
164,"1st",40,"female","survived"
165,"1st",40,"male","survived"
166,"1st",40,"male","survived"
167,"1st",-1,"male","died"
168,"1st",40,"female","survived"
169,"1st",40,"female","survived"
170,"1st",50,"female","died"
171,"1st",50,"male","survived"
172,"1st",50,"male","died"
173,"1st",50,"male","died"
174,"1st",30,"male","died"
175,"1st",60,"male","died"
176,"1st",40,"male","died"
177,"1st",-1,"female","survived"
178,"1st",40,"male","survived"
179,"1st",40,"female","survived"
180,"1st",-1,"male","died"
181,"1st",40,"female","survived"
182,"1st",50,"female","survived"
183,"1st",30,"female","survived"
184,"1st",40,"male","survived"
185,"1st",-1,"male","died"
186,"1st",40,"male","died"
187,"1st",60,"female","survived"
188,"1st",20,"female","survived"
189,"1st",50,"female","survived"
190,"1st",30,"male","died"
191,"1st",20,"female","survived"
192,"1st",30,"male","died"
193,"1st",60,"female","survived"
194,"1st",20,"female","survived"
195,"1st",30,"male","died"
196,"1st",20,"female","survived"
197,"1st",-1,"male","survived"
198,"1st",20,"male","died"
199,"1st",20,"female","survived"
200,"1st",20,"female","survived"
201,"1st",50,"male","died"
202,"1st",50,"male","died"
203,"1st",40,"male","survived"
204,"1st",30,"male","died"
205,"1st",-1,"female","survived"
206,"1st",60,"male","died"
207,"1st",40,"male","died"
208,"1st",30,"female","survived"
209,"1st",40,"female","survived"
210,"1st",30,"male","survived"
211,"1st",60,"male","died"
212,"1st",50,"male","died"
213,"1st",40,"male","died"
214,"1st",30,"female","survived"
215,"1st",20,"female","survived"
216,"1st",60,"male","died"
217,"1st",20,"female","survived"
218,"1st",60,"male","died"
219,"1st",40,"female","survived"
220,"1st",-1,"male","survived"
221,"1st",20,"female","survived"
222,"1st",60,"male","died"
223,"1st",30,"male","died"
224,"1st",-1,"male","died"
225,"1st",50,"male","died"
226,"1st",20,"male","died"
227,"1st",30,"male","died"
228,"1st",20,"female","survived"
229,"1st",20,"male","died"
230,"1st",20,"female","survived"
231,"1st",30,"female","survived"
232,"1st",50,"male","survived"
233,"1st",50,"male","died"
234,"1st",60,"female","survived"
235,"1st",40,"male","died"
236,"1st",-1,"male","survived"
237,"1st",20,"male","died"
238,"1st",-1,"male","died"
239,"1st",40,"female","survived"
240,"1st",30,"male","died"
241,"1st",40,"male","survived"
242,"1st",-1,"male","died"
243,"1st",30,"female","survived"
244,"1st",50,"male","died"
245,"1st",40,"male","died"
246,"1st",30,"female","survived"
247,"1st",60,"male","died"
248,"1st",50,"female","survived"
249,"1st",30,"male","died"
250,"1st",10,"male","survived"
251,"1st",20,"female","survived"
252,"1st",20,"female","survived"
253,"1st",60,"male","died"
254,"1st",50,"female","survived"
255,"1st",-1,"male","survived"
256,"1st",20,"female","survived"
257,"1st",-1,"male","survived"
258,"1st",40,"female","survived"
259,"1st",30,"female","survived"
260,"1st",30,"male","survived"
261,"1st",40,"female","survived"
262,"1st",40,"male","survived"
263,"1st",50,"male","died"
264,"1st",40,"female","survived"
265,"1st",60,"male","survived"
266,"1st",30,"male","survived"
267,"1st",60,"male","died"
268,"1st",60,"male","died"
269,"1st",20,"male","died"
270,"1st",-1,"male","died"
271,"1st",20,"female","survived"
272,"1st",20,"male","survived"
273,"1st",20,"female","survived"
274,"1st",10,"male","survived"
275,"1st",40,"male","survived"
276,"1st",40,"female","survived"
277,"1st",60,"male","died"
278,"1st",-1,"female","survived"
279,"1st",30,"male","survived"
280,"1st",60,"male","died"
281,"1st",50,"male","survived"
282,"1st",40,"female","survived"
283,"1st",50,"female","survived"
284,"1st",-1,"male","died"
285,"1st",60,"female","survived"
286,"1st",70,"male","died"
287,"1st",60,"female","died"
288,"1st",60,"male","died"
289,"1st",50,"female","survived"
290,"1st",20,"female","survived"
291,"1st",50,"male","died"
292,"1st",40,"female","survived"
293,"1st",50,"male","survived"
294,"1st",-1,"female","survived"
295,"1st",50,"male","died"
296,"1st",20,"male","survived"
297,"1st",40,"female","survived"
298,"1st",-1,"female","survived"
299,"1st",30,"male","survived"
300,"1st",40,"male","died"
301,"1st",60,"male","died"
302,"1st",50,"male","died"
303,"1st",40,"female","survived"
304,"1st",60,"male","died"
305,"1st",60,"female","survived"
306,"1st",60,"male","died"
307,"1st",50,"male","died"
308,"1st",20,"male","died"
309,"1st",60,"female","survived"
310,"1st",30,"female","survived"
311,"1st",60,"male","died"
312,"1st",40,"female","survived"
313,"1st",50,"male","died"
314,"1st",30,"male","died"
315,"1st",50,"female","survived"
316,"1st",20,"female","survived"
317,"1st",50,"male","died"
318,"1st",20,"male","survived"
319,"1st",-1,"male","died"
320,"1st",30,"female","survived"
321,"1st",-1,"male","survived"
322,"1st",60,"male","died"
323,"1st",40,"female","survived"
324,"2nd",30,"male","died"
325,"2nd",30,"female","survived"
326,"2nd",30,"male","died"
327,"2nd",20,"male","died"
328,"2nd",20,"male","died"
329,"2nd",30,"male","died"
330,"2nd",40,"female","survived"
331,"2nd",60,"male","died"
332,"2nd",20,"male","died"
333,"2nd",20,"male","died"
334,"2nd",40,"female","survived"
335,"2nd",30,"male","died"
336,"2nd",50,"male","died"
337,"2nd",30,"male","survived"
338,"2nd",20,"female","survived"
339,"2nd",30,"male","died"
340,"2nd",0,"male","survived"
341,"2nd",0,"female","survived"
342,"2nd",10,"female","survived"
343,"2nd",40,"female","survived"
344,"2nd",30,"male","survived"
345,"2nd",20,"female","survived"
346,"2nd",20,"male","died"
347,"2nd",30,"male","died"
348,"2nd",40,"male","died"
349,"2nd",30,"male","died"
350,"2nd",20,"female","survived"
351,"2nd",20,"female","survived"
352,"2nd",60,"male","died"
353,"2nd",40,"female","survived"
354,"2nd",20,"female","survived"
355,"2nd",20,"male","died"
356,"2nd",40,"female","survived"
357,"2nd",20,"male","died"
358,"2nd",40,"male","died"
359,"2nd",40,"female","survived"
360,"2nd",0,"male","survived"
361,"2nd",30,"male","survived"
362,"2nd",20,"female","survived"
363,"2nd",40,"female","survived"
364,"2nd",-1,"male","died"
365,"2nd",20,"male","died"
366,"2nd",40,"female","died"
367,"2nd",50,"male","died"
368,"2nd",50,"male","died"
369,"2nd",40,"male","died"
370,"2nd",30,"female","died"
371,"2nd",20,"female","survived"
372,"2nd",40,"female","survived"
373,"2nd",30,"male","died"
374,"2nd",30,"female","survived"
375,"2nd",30,"male","died"
376,"2nd",30,"male","died"
377,"2nd",20,"male","survived"
378,"2nd",10,"female","survived"
379,"2nd",30,"male","died"
380,"2nd",30,"female","survived"
381,"2nd",20,"female","survived"
382,"2nd",30,"female","died"
383,"2nd",-1,"female","died"
384,"2nd",20,"male","died"
385,"2nd",-1,"male","died"
386,"2nd",10,"male","survived"
387,"2nd",20,"male","died"
388,"2nd",50,"female","survived"
389,"2nd",30,"female","survived"
390,"2nd",30,"male","died"
391,"2nd",20,"male","died"
392,"2nd",30,"male","died"
393,"2nd",20,"female","survived"
394,"2nd",20,"male","died"
395,"2nd",20,"male","died"
396,"2nd",20,"female","survived"
397,"2nd",30,"female","survived"
398,"2nd",50,"male","died"
399,"2nd",10,"male","survived"
400,"2nd",40,"male","died"
401,"2nd",30,"female","survived"
402,"2nd",30,"female","survived"
403,"2nd",30,"female","survived"
404,"2nd",20,"male","died"
405,"2nd",20,"male","died"
406,"2nd",20,"male","died"
407,"2nd",40,"male","died"
408,"2nd",30,"female","survived"
409,"2nd",20,"male","died"
410,"2nd",40,"male","died"
411,"2nd",-1,"male","died"
412,"2nd",40,"female","died"
413,"2nd",40,"male","died"
414,"2nd",40,"male","died"
415,"2nd",30,"male","died"
416,"2nd",30,"female","survived"
417,"2nd",20,"male","died"
418,"2nd",30,"male","died"
419,"2nd",50,"male","died"
420,"2nd",20,"male","died"
421,"2nd",20,"male","died"
422,"2nd",20,"male","died"
423,"2nd",20,"male","died"
424,"2nd",30,"male","died"
425,"2nd",30,"male","died"
426,"2nd",50,"male","died"
427,"2nd",30,"male","died"
428,"2nd",0,"male","survived"
429,"2nd",20,"female","survived"
430,"2nd",40,"male","died"
431,"2nd",10,"female","survived"
432,"2nd",30,"male","died"
433,"2nd",60,"male","survived"
434,"2nd",30,"male","died"
435,"2nd",10,"female","survived"
436,"2nd",40,"male","died"
437,"2nd",40,"female","survived"
438,"2nd",20,"female","survived"
439,"2nd",20,"female","survived"
440,"2nd",50,"male","died"
441,"2nd",50,"female","survived"
442,"2nd",60,"female","survived"
443,"2nd",20,"male","died"
444,"2nd",30,"male","died"
445,"2nd",20,"male","died"
446,"2nd",20,"female","died"
447,"2nd",20,"female","survived"
448,"2nd",20,"male","died"
449,"2nd",40,"male","died"
450,"2nd",50,"female","survived"
451,"2nd",50,"male","died"
452,"2nd",40,"male","died"
453,"2nd",30,"female","survived"
454,"2nd",20,"male","died"
455,"2nd",40,"male","survived"
456,"2nd",60,"male","died"
457,"2nd",60,"female","died"
458,"2nd",30,"male","died"
459,"2nd",20,"female","survived"
460,"2nd",40,"male","died"
461,"2nd",20,"female","survived"
462,"2nd",50,"male","died"
463,"2nd",20,"male","died"
464,"2nd",20,"male","died"
465,"2nd",30,"male","died"
466,"2nd",20,"female","survived"
467,"2nd",30,"male","died"
468,"2nd",20,"female","survived"
469,"2nd",20,"female","died"
470,"2nd",-1,"female","survived"
471,"2nd",40,"male","died"
472,"2nd",40,"female","survived"
473,"2nd",60,"male","died"
474,"2nd",-1,"male","died"
475,"2nd",30,"male","died"
476,"2nd",30,"female","died"
477,"2nd",30,"male","died"
478,"2nd",-1,"male","died"
479,"2nd",0,"female","survived"
480,"2nd",0,"female","survived"
481,"2nd",20,"male","died"
482,"2nd",20,"female","survived"
483,"2nd",20,"female","survived"
484,"2nd",-1,"female","survived"
485,"2nd",30,"female","survived"
486,"2nd",40,"male","died"
487,"2nd",20,"male","died"
488,"2nd",60,"male","died"
489,"2nd",50,"male","died"
490,"2nd",40,"female","survived"
491,"2nd",60,"female","died"
492,"2nd",-1,"male","died"
493,"2nd",0,"male","survived"
494,"2nd",30,"male","died"
495,"2nd",20,"female","survived"
496,"2nd",-1,"male","died"
497,"2nd",30,"male","died"
498,"2nd",40,"male","died"
499,"2nd",30,"male","died"
500,"2nd",30,"male","died"
501,"2nd",50,"male","died"
502,"2nd",10,"female","survived"
503,"2nd",40,"female","survived"
504,"2nd",20,"male","survived"
505,"2nd",40,"male","died"
506,"2nd",50,"male","died"
507,"2nd",70,"male","died"
508,"2nd",30,"male","died"
509,"2nd",50,"male","died"
510,"2nd",40,"male","died"
511,"2nd",20,"male","died"
512,"2nd",60,"male","died"
513,"2nd",30,"male","died"
514,"2nd",10,"female","survived"
515,"2nd",0,"male","survived"
516,"2nd",0,"male","survived"
517,"2nd",40,"male","died"
518,"2nd",30,"male","died"
519,"2nd",20,"male","died"
520,"2nd",30,"male","died"
521,"2nd",20,"male","survived"
522,"2nd",30,"female","survived"
523,"2nd",40,"male","died"
524,"2nd",20,"male","survived"
525,"2nd",-1,"male","survived"
526,"2nd",20,"male","died"
527,"2nd",30,"male","survived"
528,"2nd",30,"male","died"
529,"2nd",-1,"male","died"
530,"2nd",50,"female","survived"
531,"2nd",20,"male","died"
532,"2nd",-1,"male","died"
533,"2nd",40,"male","died"
534,"2nd",20,"female","survived"
535,"2nd",20,"female","survived"
536,"2nd",40,"male","died"
537,"2nd",30,"female","survived"
538,"2nd",30,"male","died"
539,"2nd",30,"male","survived"
540,"2nd",30,"male","died"
541,"2nd",0,"female","survived"
542,"2nd",10,"female","survived"
543,"2nd",30,"female","survived"
544,"2nd",40,"male","died"
545,"2nd",30,"male","died"
546,"2nd",30,"female","survived"
547,"2nd",30,"female","survived"
548,"2nd",20,"male","died"
549,"2nd",0,"male","survived"
550,"2nd",0,"male","survived"
551,"2nd",20,"female","survived"
552,"2nd",50,"female","survived"
553,"2nd",20,"male","died"
554,"2nd",20,"female","survived"
555,"2nd",30,"male","died"
556,"2nd",20,"male","died"
557,"2nd",30,"male","died"
558,"2nd",20,"female","survived"
559,"2nd",20,"female","survived"
560,"2nd",20,"female","survived"
561,"2nd",30,"female","survived"
562,"2nd",60,"male","died"
563,"2nd",30,"female","survived"
564,"2nd",40,"male","died"
565,"2nd",40,"female","survived"
566,"2nd",20,"male","died"
567,"2nd",40,"male","died"
568,"2nd",20,"male","died"
569,"2nd",20,"male","died"
570,"2nd",10,"male","died"
571,"2nd",50,"female","survived"
572,"2nd",20,"male","died"
573,"2nd",30,"female","survived"
574,"2nd",30,"female","survived"
575,"2nd",30,"male","died"
576,"2nd",30,"female","died"
577,"2nd",40,"male","died"
578,"2nd",30,"female","survived"
579,"2nd",30,"male","died"
580,"2nd",20,"male","died"
581,"2nd",30,"female","survived"
582,"2nd",-1,"male","died"
583,"2nd",10,"female","survived"
584,"2nd",40,"female","survived"
585,"2nd",30,"female","survived"
586,"2nd",30,"male","died"
587,"2nd",30,"female","survived"
588,"2nd",0,"male","survived"
589,"2nd",0,"female","survived"
590,"2nd",30,"female","survived"
591,"2nd",0,"female","survived"
592,"2nd",0,"female","survived"
593,"2nd",40,"male","died"
594,"2nd",30,"female","survived"
595,"2nd",70,"male","died"
596,"2nd",-1,"male","died"
597,"2nd",30,"male","survived"
598,"2nd",-1,"male","survived"
599,"2nd",30,"female","survived"
600,"2nd",20,"female","died"
601,"3rd",40,"male","died"
602,"3rd",10,"male","died"
603,"3rd",20,"male","died"
604,"3rd",40,"female","survived"
605,"3rd",20,"female","survived"
606,"3rd",20,"male","survived"
607,"3rd",20,"male","survived"
608,"3rd",20,"female","survived"
609,"3rd",30,"male","died"
610,"3rd",30,"male","died"
611,"3rd",40,"female","died"
612,"3rd",0,"male","survived"
613,"3rd",20,"female","survived"
614,"3rd",30,"male","survived"
615,"3rd",30,"male","died"
616,"3rd",20,"male","died"
617,"3rd",20,"male","died"
618,"3rd",20,"male","died"
619,"3rd",40,"male","died"
620,"3rd",20,"male","died"
621,"3rd",30,"male","died"
622,"3rd",20,"female","survived"
623,"3rd",0,"male","died"
624,"3rd",10,"female","died"
625,"3rd",0,"female","died"
626,"3rd",20,"female","survived"
627,"3rd",40,"female","died"
628,"3rd",10,"female","died"
629,"3rd",10,"female","died"
630,"3rd",40,"male","died"
631,"3rd",30,"male","survived"
632,"3rd",30,"male","died"
633,"3rd",40,"female","died"
634,"3rd",20,"male","died"
635,"3rd",30,"male","died"
636,"3rd",20,"male","died"
637,"3rd",20,"female","died"
638,"3rd",20,"male","died"
639,"3rd",40,"male","died"
640,"3rd",0,"male","died"
641,"3rd",10,"male","died"
642,"3rd",0,"male","survived"
643,"3rd",10,"male","died"
644,"3rd",0,"female","survived"
645,"3rd",40,"male","died"
646,"3rd",20,"male","survived"
